subNum,length,trial,set,stim,targetfoil,resp,corr,rt
T2_4581_sternberg,2,1,PG,G,T,<lshift>,1,15049
T2_4581_sternberg,2,2,PG,G,T,<rshift>,0,701
T2_4581_sternberg,2,3,PG,H,F,<rshift>,1,1839
T2_4581_sternberg,2,4,PG,G,T,<lshift>,1,778
T2_4581_sternberg,2,5,PG,T,F,<rshift>,1,1135
T2_4581_sternberg,2,6,PG,P,T,<lshift>,1,580
T2_4581_sternberg,2,7,PG,P,T,<lshift>,1,540
T2_4581_sternberg,2,8,PG,R,F,<rshift>,1,990
T2_4581_sternberg,2,9,PG,Z,F,<rshift>,1,633
T2_4581_sternberg,2,10,PG,P,T,<lshift>,1,666
T2_4581_sternberg,2,11,PG,P,T,<lshift>,1,470
T2_4581_sternberg,2,12,PG,Z,F,<rshift>,1,1312
T2_4581_sternberg,2,13,PG,R,F,<rshift>,1,715
T2_4581_sternberg,2,14,PG,J,F,<rshift>,1,707
T2_4581_sternberg,2,15,PG,R,F,<rshift>,1,589
T2_4581_sternberg,2,16,PG,G,T,<lshift>,1,737
T2_4581_sternberg,2,17,PG,P,T,<lshift>,1,499
T2_4581_sternberg,2,18,PG,R,F,<rshift>,1,1892
T2_4581_sternberg,2,19,PG,K,F,<rshift>,1,614
T2_4581_sternberg,2,20,PG,J,F,<rshift>,1,650
T2_4581_sternberg,2,21,PG,G,T,<lshift>,1,634
T2_4581_sternberg,2,22,PG,G,T,<lshift>,1,750
T2_4581_sternberg,2,23,PG,D,F,<rshift>,1,616
T2_4581_sternberg,2,24,PG,G,T,<lshift>,1,608
T2_4581_sternberg,2,25,PG,Q,F,<rshift>,1,682
T2_4581_sternberg,2,26,PG,L,F,<rshift>,1,909
T2_4581_sternberg,2,27,PG,G,T,<lshift>,1,729
T2_4581_sternberg,2,28,PG,P,T,<lshift>,1,925
T2_4581_sternberg,2,29,PG,R,F,<rshift>,1,1003
T2_4581_sternberg,2,30,PG,M,F,<rshift>,1,626
T2_4581_sternberg,2,31,PG,G,T,<lshift>,1,2525
T2_4581_sternberg,2,32,PG,G,T,<lshift>,1,440
T2_4581_sternberg,2,33,PG,D,F,<rshift>,1,607
T2_4581_sternberg,2,34,PG,H,F,<rshift>,1,774
