subNum,length,trial,set,stim,targetfoil,resp,corr,rt
T0_4585_sternberg,2,1,BH,B,T,<lshift>,1,4385
T0_4585_sternberg,2,2,BH,H,T,<lshift>,1,1742
T0_4585_sternberg,2,3,BH,B,T,<lshift>,1,1217
T0_4585_sternberg,2,4,BH,V,F,<rshift>,1,1586
T0_4585_sternberg,2,5,BH,R,F,<rshift>,1,865
T0_4585_sternberg,2,6,BH,H,T,<lshift>,1,973
T0_4585_sternberg,2,7,BH,H,T,<lshift>,1,913
T0_4585_sternberg,2,8,BH,F,F,<rshift>,1,824
T0_4585_sternberg,2,9,BH,W,F,<rshift>,1,941
T0_4585_sternberg,2,10,BH,W,F,<rshift>,1,706
T0_4585_sternberg,2,11,BH,S,F,<rshift>,1,814
T0_4585_sternberg,2,12,BH,K,F,<rshift>,1,776
T0_4585_sternberg,2,13,BH,H,T,<lshift>,1,1459
T0_4585_sternberg,2,14,BH,B,T,<lshift>,1,749
T0_4585_sternberg,2,15,BH,B,T,<lshift>,1,600
T0_4585_sternberg,2,16,BH,J,F,<rshift>,1,706
T0_4585_sternberg,2,17,BH,L,F,<rshift>,1,637
T0_4585_sternberg,2,18,BH,B,T,<lshift>,1,722
T0_4585_sternberg,2,19,BH,N,F,<rshift>,1,1038
T0_4585_sternberg,2,20,BH,T,F,<rshift>,1,871
T0_4585_sternberg,2,21,BH,T,F,<rshift>,1,587
T0_4585_sternberg,2,22,BH,T,F,<rshift>,1,672
T0_4585_sternberg,2,23,BH,C,F,<rshift>,1,753
T0_4585_sternberg,2,24,BH,R,F,<rshift>,1,750
T0_4585_sternberg,2,25,BH,K,F,<rshift>,1,803
T0_4585_sternberg,2,26,BH,B,T,<lshift>,1,845
T0_4585_sternberg,2,27,BH,C,F,<rshift>,1,718
T0_4585_sternberg,2,28,BH,B,T,<lshift>,1,855
T0_4585_sternberg,2,29,BH,B,T,<lshift>,1,721
T0_4585_sternberg,2,30,BH,H,T,<lshift>,1,860
T0_4585_sternberg,2,31,BH,B,T,<lshift>,1,654
T0_4585_sternberg,2,32,BH,F,F,<rshift>,1,670
T0_4585_sternberg,2,33,BH,R,F,<rshift>,1,688
T0_4585_sternberg,2,34,BH,H,T,<lshift>,1,601
T0_4585_sternberg,2,35,BH,G,F,<lshift>,0,842
T0_4585_sternberg,2,36,BH,B,T,<lshift>,1,2148
T0_4585_sternberg,2,37,BH,Q,F,<rshift>,1,879
T0_4585_sternberg,2,38,BH,B,T,<lshift>,1,801
T0_4585_sternberg,2,39,BH,H,T,<rshift>,0,1327
T0_4585_sternberg,2,40,BH,N,F,<rshift>,1,2647
T0_4585_sternberg,2,41,BH,B,T,<lshift>,1,824
T0_4585_sternberg,2,42,BH,M,F,<rshift>,1,1235
T0_4585_sternberg,2,43,BH,H,T,<lshift>,1,971
