subNum,length,trial,set,stim,targetfoil,resp,corr,rt
T0_4568_sternberg.csv,2,1,BC,Q,F,<rshift>,1,5424
T0_4568_sternberg.csv,2,2,BC,H,F,<rshift>,1,1178
T0_4568_sternberg.csv,2,3,BC,B,T,<lshift>,1,668
T0_4568_sternberg.csv,2,4,BC,B,T,<lshift>,1,1400
T0_4568_sternberg.csv,2,5,BC,B,T,<lshift>,1,1629
T0_4568_sternberg.csv,2,6,BC,C,T,<lshift>,1,966
T0_4568_sternberg.csv,2,7,BC,B,T,<lshift>,1,804
T0_4568_sternberg.csv,2,8,BC,C,T,<lshift>,1,532
T0_4568_sternberg.csv,2,9,BC,B,T,<lshift>,1,508
T0_4568_sternberg.csv,2,10,BC,J,F,<rshift>,1,531
T0_4568_sternberg.csv,2,11,BC,F,F,<rshift>,1,966
T0_4568_sternberg.csv,2,12,BC,B,T,<lshift>,1,666
T0_4568_sternberg.csv,2,13,BC,J,F,<rshift>,1,1204
T0_4568_sternberg.csv,2,14,BC,B,T,<lshift>,1,762
T0_4568_sternberg.csv,2,15,BC,D,F,<rshift>,1,1508
T0_4568_sternberg.csv,2,16,BC,F,F,<rshift>,1,841
T0_4568_sternberg.csv,2,17,BC,B,T,<lshift>,1,508
T0_4568_sternberg.csv,2,18,BC,C,T,<lshift>,1,641
T0_4568_sternberg.csv,2,19,BC,M,F,<rshift>,1,538
T0_4568_sternberg.csv,2,20,BC,T,F,<rshift>,1,1538
T0_4568_sternberg.csv,2,21,BC,N,F,<rshift>,1,479
T0_4568_sternberg.csv,2,22,BC,C,T,<lshift>,1,572
T0_4568_sternberg.csv,2,23,BC,V,F,<rshift>,1,395
T0_4568_sternberg.csv,2,24,BC,W,F,<rshift>,1,980
T0_4568_sternberg.csv,2,25,BC,B,T,<lshift>,1,675
T0_4568_sternberg.csv,2,26,BC,B,T,<lshift>,1,658
T0_4568_sternberg.csv,2,27,BC,C,T,<lshift>,1,805
