subNum,length,trial,set,stim,targetfoil,resp,corr,rt
T1_4581_sternberg,2,1,PM,Z,F,<rshift>,1,5285
T1_4581_sternberg,2,2,PM,G,F,<lshift>,0,1910
T1_4581_sternberg,2,3,PM,N,F,<rshift>,1,2196
T1_4581_sternberg,2,4,PM,R,F,<rshift>,1,1244
T1_4581_sternberg,2,5,PM,P,T,<lshift>,1,579
T1_4581_sternberg,2,6,PM,M,T,<lshift>,1,611
T1_4581_sternberg,2,7,PM,P,T,<lshift>,1,498
T1_4581_sternberg,2,8,PM,C,F,<rshift>,1,609
T1_4581_sternberg,2,9,PM,P,T,<lshift>,1,464
T1_4581_sternberg,2,10,PM,W,F,<rshift>,1,1222
T1_4581_sternberg,2,11,PM,G,F,<rshift>,1,739
T1_4581_sternberg,2,12,PM,P,T,<lshift>,1,461
T1_4581_sternberg,2,13,PM,P,T,<lshift>,1,562
T1_4581_sternberg,2,14,PM,M,T,<lshift>,1,638
T1_4581_sternberg,2,15,PM,M,T,<lshift>,1,634
T1_4581_sternberg,2,16,PM,P,T,<lshift>,1,532
T1_4581_sternberg,2,17,PM,P,T,<lshift>,1,317
T1_4581_sternberg,2,18,PM,M,T,<lshift>,1,382
T1_4581_sternberg,2,19,PM,M,T,<lshift>,1,361
T1_4581_sternberg,2,20,PM,Z,F,<rshift>,1,518
T1_4581_sternberg,2,21,PM,D,F,<rshift>,1,471
T1_4581_sternberg,2,22,PM,K,F,<rshift>,1,500
T1_4581_sternberg,2,23,PM,C,F,<rshift>,1,420
T1_4581_sternberg,2,24,PM,P,T,<lshift>,1,681
T1_4581_sternberg,2,25,PM,V,F,<rshift>,1,593
T1_4581_sternberg,2,26,PM,Z,F,<rshift>,1,712
T1_4581_sternberg,2,27,PM,P,T,<lshift>,1,516
T1_4581_sternberg,2,28,PM,L,F,<rshift>,1,1057
T1_4581_sternberg,2,29,PM,B,F,<rshift>,1,1337
T1_4581_sternberg,2,30,PM,V,F,<rshift>,1,581
T1_4581_sternberg,2,31,PM,Z,F,<rshift>,1,374
T1_4581_sternberg,2,32,PM,C,F,<rshift>,1,323
T1_4581_sternberg,2,33,PM,K,F,<rshift>,1,364
T1_4581_sternberg,2,34,PM,F,F,<rshift>,1,335
T1_4581_sternberg,2,35,PM,M,T,<rshift>,0,360
T1_4581_sternberg,2,36,PM,Q,F,<rshift>,1,2569
T1_4581_sternberg,2,37,PM,P,T,<lshift>,1,493
T1_4581_sternberg,2,38,PM,M,T,<lshift>,1,541
T1_4581_sternberg,2,39,PM,M,T,<lshift>,1,355
T1_4581_sternberg,2,40,PM,M,T,<lshift>,1,335
T1_4581_sternberg,2,41,PM,M,T,<lshift>,1,472
T1_4581_sternberg,2,42,PM,M,T,<lshift>,1,477
T1_4581_sternberg,2,43,PM,W,F,<rshift>,1,630
T1_4581_sternberg,2,44,PM,J,F,<rshift>,1,755
T1_4581_sternberg,2,45,PM,F,F,<rshift>,1,863
T1_4581_sternberg,2,46,PM,M,T,<lshift>,1,584
T1_4581_sternberg,2,47,PM,M,T,<lshift>,1,305
T1_4581_sternberg,2,48,PM,D,F,<rshift>,1,580
T1_4581_sternberg,2,49,PM,M,T,<lshift>,1,521
T1_4581_sternberg,2,50,PM,P,T,<rshift>,0,329
T1_4581_sternberg,4,51,HNDP,P,T,<lshift>,1,1542
T1_4581_sternberg,4,52,HNDP,V,F,<rshift>,1,786
T1_4581_sternberg,4,53,HNDP,H,T,<lshift>,1,686
T1_4581_sternberg,4,54,HNDP,L,F,<rshift>,1,1236
T1_4581_sternberg,4,55,HNDP,M,F,<rshift>,1,1455
T1_4581_sternberg,4,56,HNDP,L,F,<rshift>,1,1000
T1_4581_sternberg,4,57,HNDP,N,T,<lshift>,1,617
