subNum,length,trial,set,stim,targetfoil,resp,corr,rt
T2_4586_sternberg,2,1,RB,B,T,<lshift>,1,2536
T2_4586_sternberg,2,2,RB,W,F,<rshift>,1,1456
T2_4586_sternberg,2,3,RB,B,T,<lshift>,1,1013
T2_4586_sternberg,2,4,RB,R,T,<lshift>,1,1247
T2_4586_sternberg,2,5,RB,B,T,<lshift>,1,1039
T2_4586_sternberg,2,6,RB,L,F,<rshift>,1,852
T2_4586_sternberg,2,7,RB,R,T,<lshift>,1,969
T2_4586_sternberg,2,8,RB,W,F,<rshift>,1,957
T2_4586_sternberg,2,9,RB,R,T,<lshift>,1,895
T2_4586_sternberg,2,10,RB,B,T,<lshift>,1,922
T2_4586_sternberg,2,11,RB,B,T,<lshift>,1,909
T2_4586_sternberg,2,12,RB,T,F,<rshift>,1,903
T2_4586_sternberg,2,13,RB,R,T,<lshift>,1,1004
T2_4586_sternberg,2,14,RB,L,F,<rshift>,1,958
T2_4586_sternberg,2,15,RB,B,T,<lshift>,1,1533
T2_4586_sternberg,2,16,RB,M,F,<rshift>,1,833
T2_4586_sternberg,2,17,RB,V,F,<rshift>,1,923
T2_4586_sternberg,2,18,RB,V,F,<rshift>,1,903
T2_4586_sternberg,2,19,RB,B,T,<lshift>,1,945
T2_4586_sternberg,2,20,RB,W,F,<rshift>,1,907
T2_4586_sternberg,2,21,RB,B,T,<lshift>,1,968
T2_4586_sternberg,2,22,RB,W,F,<rshift>,1,847
T2_4586_sternberg,2,23,RB,K,F,<rshift>,1,912
T2_4586_sternberg,2,24,RB,B,T,<lshift>,1,1181
T2_4586_sternberg,2,25,RB,M,F,<rshift>,1,910
T2_4586_sternberg,2,26,RB,T,F,<rshift>,1,881
T2_4586_sternberg,2,27,RB,R,T,<lshift>,1,840
T2_4586_sternberg,2,28,RB,B,T,<lshift>,1,1101
T2_4586_sternberg,2,29,RB,V,F,<rshift>,1,925
T2_4586_sternberg,2,30,RB,R,T,<lshift>,1,992
T2_4586_sternberg,2,31,RB,D,F,<rshift>,1,894
T2_4586_sternberg,2,32,RB,R,T,<lshift>,1,926
